Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price to earnings ratio forward,"Return on invested capital %, Trailing 12 months","Return on capital employed %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Current ratio, Quarterly","Gross margin %, Annual","Operating margin %, Annual","Net margin %, Annual","Interest coverage, Annual","Debt to equity ratio, Quarterly","EBITDA interest coverage, Annual",Country or region of registration,"Free cash flow margin %, Annual","Free cash flow, Annual","Free cash flow, Annual - Currency","Performance %, Year to date","Performance %, 6 months","Performance %, 1 year","Performance %, 5 years",Price,Price - Currency,"Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Relative strength index, 14, 1 day",Sector,Industry,"Altman Z-score, Trailing 12 months","Piotroski F-score, Trailing 12 months"
NVDA,NVIDIA Corporation,5264710157825.745,USD,33.31648748813134,21.723394633148235,106.178613005156,103.26692162315226,82.9744650766256,114.288066963343,3.44077568134172,71.0680843575471,60.3816836314127,55.6025340607026,503.42471042471044,0.0655534751424742,514.4015444015444,United States,44.770258129648326,96676000000,USD,14.599520636342088,13.04234866199014,19.829248141007987,970.5147131187875,217.55,USD,206.26490256042806,192.98129063037536,58.061042648363184,Electronic technology,Semiconductors,51.8259098259452,7
AAPL,Apple Inc.,4498801637673.312,USD,35.3375442779682,33.37313078638295,78.8273416483248,72.99247021670222,36.0763947669221,148.751081626767,1.00329480465559,46.9051641071605,31.9707997625919,26.9150641218182,,0.784449404761905,,United States,23.732882225869314,98767000000,USD,13.224734164661804,12.219006534520105,39.59154100439251,110.50259491942093,308.26,USD,309.86698223306564,280.8424400867638,44.10183632200431,Electronic technology,Telecommunications equipment,11.6138370480295,9
GOOG,Alphabet Inc.,4357523917362.7183,USD,17.876645918423733,26.49699771680827,42.2553367466825,25.041321972716347,34.2975879823263,48.675697331861,2.72398125460904,59.6649311845782,32.9224591897003,32.7996188226185,112.14285714285714,0.183219532225831,130.00929839391378,United States,18.18186330224686,73266000000,USD,12.043830095406028,11.562578379734136,79.73532680068693,157.7066110465348,355.84,USD,352.48398942410364,321.6945256694225,52.13784274126909,Technology services,Internet software/Services,11.268597702209,5
MSFT,Microsoft Corporation,3757771436868.2983,USD,28.199984397115696,25.813270273447955,26.8475788822893,29.088684350570016,19.4207984875622,34.0386274504814,1.23032726195765,67.9440933705803,46.7808184089272,40.3053890591522,50.880694854146185,0.291177181969633,63.51065224516552,United States,20.18659651216403,66987000000,USD,4.47474632781775,21.597885504895775,-3.164944508228094,75.22853185595568,506.06,USD,419.9092238901093,426.60781961558365,79.1381145604544,Technology services,Packaged software,7.04062236111918,6
AMZN,"Amazon.com, Inc.",2999566306330.34,USD,22.367807216511427,29.75978675773496,21.7744570509736,14.578591412381156,15.2184172085638,30.5583383687507,1.03311587655529,50.2856648682427,11.8023667780685,10.8337843341833,37.20932277924362,0.438698741887531,66.12576956904134,United States,1.07333552789417,7695000000,USD,20.20835134434165,33.65856003076034,24.62579546473066,66.27155075769579,278.09,USD,251.16046796817236,238.25340910093695,65.86743969761984,Retail trade,Internet retail,4.28532940604813,6
AVGO,Broadcom Inc.,2009601870878.0847,USD,70.31796237722656,26.930826794234456,20.8155976754011,21.89078267269961,17.0552782528768,37.2807212752024,2.23799172940303,64.7064347989419,40.9332101992581,36.1982876015465,8.146728971962617,0.7401785816104269,10.880373831775701,United States,42.127506378449446,26914000000,USD,19.736375876975412,21.7993079584775,38.92451899358657,769.3146738011934,422.4,USD,394.28712065307457,363.67201448903637,61.79045537677975,Electronic technology,Semiconductors,14.4345048187627,8
2330,"Taiwan Semiconductor Manufacturing Co., Ltd.",1905435539906.3008,USD,27.760970509619554,19.22393527150895,35.109010030548,37.775097929976795,27.3115190794714,40.6241152582739,2.45763504690052,58.7172816738485,50.8154475305938,45.0999776933606,96.84603850909811,0.152731325431192,131.27454726597372,Taiwan,28.298215226900293,34347104291.239994,USD,54.01929260450161,27.393617021276597,104.7008547008547,308.70307167235495,2395,TWD,2340.699593655768,1975.9692256722744,52.45307003448394,Electronic technology,Semiconductors,,
SPCX,Space Exploration Technologies Corp,1840426822667.5374,USD,,97.64027784619933,,,,,5.11537733169207,49.3895255435365,-11.052800685445,-26.4378279961444,-0.9763481551561022,0.312110922467459,2.193472090823084,United States,-75.61850701510122,-14121000000,USD,-7.506666666666661,-7.506666666666661,-7.506666666666661,-7.506666666666661,138.74,USD,,,55.437975239312166,Communications,Specialty telecommunications,,
2222,Saudi Arabian Oil Co.,1704560643926.461,USD,13.66212283657528,13.938959234794895,22.2970180261588,36.06257472172883,15.8568849453541,26.7516833172347,2.00315600420416,49.5095751326589,44.1877233419738,20.8258237773485,35.13999524149417,0.22634310698343002,39.606852248394006,Saudi Arabia,18.94472488098401,84280251000,USD,12.295425933697036,3.7209302325581426,10.853355426677718,-7.912464783869121,26.76,SAR,26.69905817887845,26.30892280834501,52.55533629359404,Energy minerals,Integrated oil,6.14348588125446,8
META,"Meta Platforms, Inc.",1515562286729.5757,USD,22.409474267073982,19.53857731030983,22.1901796610114,26.70502721899308,18.2887068618236,29.8484958064042,2.2255627095195,81.9994426917986,41.4378551595792,30.0836957495298,71.48154506437768,0.429973087921722,87.46094420600858,United States,22.943682015863377,46109000000,USD,-10.231242219623534,-11.732937685459946,-22.003277613897087,64.42202722310509,594.92,USD,603.5308576258848,627.009008281731,48.55875614718819,Technology services,Internet software/Services,6.38246182327231,4
