Symbol,Description,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Price to earnings ratio forward,"Return on invested capital %, Trailing 12 months","Return on capital employed %, Trailing 12 months","Return on assets %, Trailing 12 months","Return on equity %, Trailing 12 months","Current ratio, Quarterly","Gross margin %, Annual","Operating margin %, Annual","Net margin %, Annual","Interest coverage, Annual","Debt to equity ratio, Quarterly","EBITDA interest coverage, Annual",Country or region of registration,"Free cash flow margin %, Annual","Free cash flow, Annual","Free cash flow, Annual - Currency","Performance %, Year to date","Performance %, 6 months","Performance %, 1 year","Performance %, 5 years",Price,Price - Currency,"Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Relative strength index, 14, 1 day",Sector,Industry,"Altman Z-score, Trailing 12 months","Piotroski F-score, Trailing 12 months",ISIN
NVDA,NVIDIA Corporation,5263500073836.025,USD,33.308830285766795,21.71840189707994,106.178613005156,103.26692162315226,82.9744650766256,114.288066963343,3.44077568134172,71.0680843575471,60.3816836314127,55.6025340607026,503.42471042471044,0.0655534751424742,514.4015444015444,United States,44.770258129648326,96676000000,USD,14.573181973819365,12.676785991814743,19.47267234276297,985.1668911839546,217.5,USD,206.70549461688185,193.22525788778455,58.012983152437236,Electronic technology,Semiconductors,51.8259098259452,7,US67066G1040
AAPL,Apple Inc.,4449911469488.032,USD,34.953515298109664,33.01878977163638,78.8273416483248,72.99247021670222,36.0763947669221,148.751081626767,1.00329480465559,46.9051641071605,31.9707997625919,26.9150641218182,,0.784449404761905,,United States,23.732882225869314,98767000000,USD,11.994270077684535,10.638992706556861,33.779396279396295,108.77096884628553,304.91,USD,309.6725907729454,281.0819182948557,41.91922718903983,Electronic technology,Telecommunications equipment,11.6138370480295,9,US0378331005
GOOG,Alphabet Inc.,4205744610269.992,USD,17.23159158616047,25.540889773114987,42.2553367466825,25.041321972716347,34.2975879823263,48.675697331861,2.72398125460904,59.6649311845782,32.9224591897003,32.7996188226185,112.14285714285714,0.183219532225831,130.00929839391378,United States,18.18186330224686,73266000000,USD,8.00088163985013,9.812710100848399,70.17687479844211,148.04205867677157,343,USD,352.1120682702172,321.906520438881,45.86520661260396,Technology services,Internet software/Services,11.268597702209,5,US02079K1079
MSFT,Microsoft Corporation,3741064015042.7505,USD,28.074604076810772,25.698501554095984,26.8475788822893,29.088684350570016,19.4207984875622,34.0386274504814,1.23032726195765,67.9440933705803,46.7808184089272,40.3053890591522,50.880694854146185,0.291177181969633,63.51065224516552,United States,20.18659651216403,66987000000,USD,4.010239788597915,24.39753086419753,-3.54011104729082,75.41520142056336,503.81,USD,423.19945040422266,427.3760005149311,77.71407977777525,Technology services,Packaged software,7.04062236111918,6,US5949181045
AMZN,"Amazon.com, Inc.",2936789797478.4985,USD,21.8996830912279,29.13695976312883,21.7744570509736,14.578591412381156,15.2184172085638,30.5583383687507,1.03311587655529,50.2856648682427,11.8023667780685,10.8337843341833,37.20932277924362,0.438698741887531,66.12576956904134,United States,1.07333552789417,7695000000,USD,17.69257370104607,33.49186114924493,22.765803949860214,63.45450380733967,272.27,USD,251.9882927537342,238.59188264222115,60.97461675657004,Retail trade,Internet retail,4.28532940604813,6,US0231351067
AVGO,Broadcom Inc.,1979533890302.72,USD,69.26585650074912,26.527884499396478,20.8155976754011,21.89078267269961,17.0552782528768,37.2807212752024,2.23799172940303,64.7064347989419,40.9332101992581,36.1982876015465,8.146728971962617,0.7401785816104269,10.880373831775701,United States,42.127506378449446,26914000000,USD,17.944865707604002,21.01329145217113,36.39731191607932,758.2297587992373,416.08,USD,395.14174337256185,364.1934869816828,58.325986057044666,Electronic technology,Semiconductors,14.4345048187627,8,US11135F1012
2330,"Taiwan Semiconductor Manufacturing Co., Ltd.",1912611285771.2263,USD,27.99279489800886,19.384469177742844,35.109010030548,37.775097929976795,27.3115190794714,40.6241152582739,2.45763504690052,58.7172816738485,50.8154475305938,45.0999776933606,96.84603850909811,0.152731325431192,131.27454726597372,Taiwan,28.298215226900293,34347104291.239994,USD,55.30546623794212,28.45744680851064,104.66101694915254,312.8205128205128,2415,TWD,2343.613335081032,1980.3376910884708,53.98611320656305,Electronic technology,Semiconductors,,,TW0002330008
SPCX,Space Exploration Technologies Corp,1756999490180.5916,USD,,93.80476167017375,,,,,5.11537733169207,49.3895255435365,-11.052800685445,-26.4378279961444,-0.9763481551561022,0.312110922467459,2.193472090823084,United States,-75.61850701510122,-14121000000,USD,-11.140000000000006,-11.140000000000006,-11.140000000000006,-11.140000000000006,133.29,USD,,,52.36578761462231,Communications,Specialty telecommunications,,,US84615Q1031
2222,Saudi Arabian Oil Co.,1712343856283.9202,USD,13.611068565885535,13.886870448416735,22.2970180261588,36.06257472172883,15.8568849453541,26.7516833172347,2.00315600420416,49.5095751326589,44.1877233419738,20.8258237773485,35.13999524149417,0.22634310698343002,39.606852248394006,Saudi Arabia,18.94472488098401,84280251000,USD,11.875786823331943,3.333333333333331,10.85239085239085,-8.256588607546744,26.66,SAR,26.691498034993174,26.31083991512567,50.517799369833455,Energy minerals,Integrated oil,6.14348588125446,8,SA14TG012N13
META,"Meta Platforms, Inc.",1526261831139.3098,USD,22.56768006267963,19.676515225833434,22.1901796610114,26.70502721899308,18.2887068618236,29.8484958064042,2.2255627095195,81.9994426917986,41.4378551595792,30.0836957495298,71.48154506437768,0.429973087921722,87.46094420600858,United States,22.943682015863377,46109000000,USD,-9.597495190312726,-10.575100377628852,-22.19978573515567,65.45705606186137,599.12,USD,603.3578828170265,626.7315057117635,49.92487765503779,Technology services,Internet software/Services,6.38246182327231,4,US30303M1027
