Symbol,Stock,%▼,"Ownership
count",Hold Price*,Max %,"Current
Price","52 Week
Low","% Above
52 Week
Low","52 Week
High"
AMZN,Amazon.com Inc.,2.917,34,$238.34,32.21,$262.82,$196.00,34.09,$287.20
GOOG,Alphabet Inc. CL C,2.583,34,$353.33,23.39,$345.49,$201.55,71.42,$404.23
BRK.B,Berkshire Hathaway CL B,2.416,26,$500.39,33.89,$502.40,$464.01,8.27,$537.74
GOOGL,Alphabet Inc.,2.084,36,$357.37,24.55,$348.84,$200.73,73.79,$408.37
MSFT,Microsoft Corp.,1.780,37,$373.02,20.54,$488.03,$348.54,40.02,$549.20
BRK.A,Berkshire Hathaway CL A,1.758,17,$748851.77,42.42,$752830.56,$698000.00,7.86,$806102.81
V,Visa Inc.,1.713,30,$343.09,19.83,$380.71,$292.74,30.05,$381.64
META,Meta Platforms Inc.,1.580,31,$563.30,20.45,$559.53,$519.78,7.65,$788.22
CVNA,Carvana Co.,1.483,7,$65.82,78.85,$71.39,$54.46,31.09,$97.38
MA,Mastercard Inc.,1.419,22,$513.60,20.01,$596.48,$463.74,28.62,$598.04
AAPL,Apple Inc.,1.224,22,$289.36,41.05,$311.74,$223.86,39.26,$344.27
TSM,Taiwan Semiconductor S.A.,0.986,24,$477.55,10.55,$410.67,$223.20,83.99,$479.00
GE,GE Aerospace,0.968,10,$373.73,35.61,$341.42,$265.02,28.83,$388.84
MCO,Moody's Corp.,0.948,17,$452.92,19.14,$507.59,$399.61,27.02,$543.25
JOE,St. Joe Co.,0.932,1,,76.43,$69.39,$45.92,51.11,$73.02
TDG,TransDigm Group Inc.,0.751,6,$1332.04,27.51,$1197.34,$1123.61,6.56,$1463.03
BN,Brookfield Corp.,0.736,9,$42.59,16.29,$41.66,$37.87,10.01,$49.40
SPGI,S&P Global Inc.,0.730,15,$407.26,19.92,$433.39,$360.90,20.09,$527.13
ASML,ASML Holding NV,0.722,9,$1989.38,21.11,$1756.00,$711.50,146.80,$1997.36
NVDA,NVIDIA Corp.,0.720,18,$200.09,9.34,$210.17,$163.85,28.27,$236.26
IBKR,Interactive Brokers Group Inc.,0.706,6,$87.04,33.42,$93.07,$58.76,58.39,$97.84
IEP,Icahn Enterprises,0.658,1,,53.95,$6.71,$5.82,15.29,$7.44
FICO,Fair Isaac Corp.,0.581,8,$1194.78,25.77,$1169.80,$870.01,34.46,$1998.01
HCC,Warrior Met Coal Inc.,0.580,3,$81.16,43.32,$106.94,$54.46,96.36,$110.29
LOAR,Loar Holdings Inc,0.575,1,,47.15,$72.66,$53.15,36.71,$83.43
MOH,Molina Healthcare Inc.,0.567,3,$193.75,43.49,$198.93,$121.06,64.32,$244.89
GPI,Group 1 Automotive,0.566,2,$291.17,46.41,$260.19,$249.54,4.27,$486.11
PDD,Pinduoduo Inc.,0.545,4,$76.28,22.17,$86.84,$71.94,20.71,$139.41
UBER,Uber Technologies Inc.,0.521,11,$72.16,12.72,$78.32,$65.41,19.74,$101.99
AMAT,Applied Materials,0.516,12,$723.00,19.48,$489.12,$153.62,218.40,$738.88
C,Citigroup Inc.,0.484,8,$139.96,18.50,$132.13,$90.92,45.33,$147.21
COF,Capital One Financial,0.470,16,$200.62,7.13,$217.10,$173.62,25.04,$256.63
AXP,American Express,0.464,16,$338.24,17.14,$338.01,$289.26,16.85,$384.36
SUNB,Sunbelt Rentals Holdings Inc,0.464,12,$75.05,10.59,$76.23,$60.40,26.21,$85.78
ELV,Elevance Health Inc.,0.458,12,$386.73,9.11,$402.20,$272.05,47.84,$436.24
SNX,SYNNEX Corp.,0.456,4,$267.34,26.38,$245.73,$141.15,74.09,$295.89
CROX,Crocs Inc.,0.443,6,$120.64,27.20,$123.49,$73.21,68.68,$141.28
DIS,Walt Disney Co.,0.433,20,$96.25,9.55,$110.30,$91.48,20.57,$118.07
LULU,Lululemon Athletica Inc.,0.403,4,$176.58,32.35,$121.50,$104.44,16.33,$225.98
CVS,CVS Health Corp.,0.396,10,$103.45,10.63,$93.09,$67.46,37.99,$110.00
